variable,type,region,pct_missing,flag_high_missing,flag_angle,do_not_use_without_review
ZMi-CP,distance,zygomatic,4.17,False,False,False
ZMi-SP,distance,zygomatic,4.17,False,False,False
ZMi-ZMiR,distance,zygomatic,4.17,False,False,False
ZMi-ZMs,distance,zygomatic,4.17,False,False,False
ZMiR-CP,distance,zygomatic,0.0,False,False,False
ZMiR-SP,distance,zygomatic,0.0,False,False,False
ZMiR-ZMsR,distance,zygomatic,0.0,False,False,False
ZMs-CP,distance,zygomatic,0.0,False,False,False
ZMs-MO,distance,zygomatic,0.0,False,False,False
ZMs-MO-TM,angle,zygomatic,33.33,False,True,False
ZMs-SP,distance,zygomatic,0.0,False,False,False
ZMs-ZMsR,distance,zygomatic,0.0,False,False,False
ZMs-ZTi,distance,zygomatic,0.0,False,False,False
ZMsR-CP,distance,zygomatic,0.0,False,False,False
ZMsR-MOR,distance,zygomatic,0.0,False,False,False
ZMsR-MOR-TMR,angle,zygomatic,33.33,False,True,False
ZMsR-SP,distance,zygomatic,0.0,False,False,False
ZMsR-ZTiR,distance,zygomatic,0.0,False,False,False
ZO-CP,distance,zygomatic,0.0,False,False,False
ZO-LOrL,distance,zygomatic,0.0,False,False,False
ZO-SP,distance,zygomatic,0.0,False,False,False
ZOR-CP,distance,zygomatic,0.0,False,False,False
ZOR-LOrR,distance,zygomatic,0.0,False,False,False
ZOR-SP,distance,zygomatic,0.0,False,False,False
ZTi-ZF-ZMs,angle,zygomatic,0.0,False,True,False
ZTi-ZMi-ZMs,angle,zygomatic,4.17,False,True,False
ZTi-ZX-ZMs,angle,zygomatic,4.17,False,True,False
ZTiR-ZFR-ZMsR,angle,zygomatic,0.0,False,True,False
ZTiR-ZXR-ZMsR,angle,zygomatic,0.0,False,True,False
ZTs-CP,distance,zygomatic,0.0,False,False,False
ZTs-Po,distance,zygomatic,0.0,False,False,False
ZTs-Po-Mas,angle,zygomatic,0.0,False,True,False
ZTs-Po-TP,angle,zygomatic,0.0,False,True,False
ZTs-SP,distance,zygomatic,0.0,False,False,False
ZTsR-CP,distance,zygomatic,0.0,False,False,False
ZTsR-PoR,distance,zygomatic,0.0,False,False,False
ZTsR-PoR-MasR,angle,zygomatic,0.0,False,True,False
ZTsR-PoR-TPR,angle,zygomatic,0.0,False,True,False
ZTsR-SP,distance,zygomatic,0.0,False,False,False
ZX-ZF,distance,zygomatic,4.17,False,False,False
ZXR-ZFR,distance,zygomatic,0.0,False,False,False
